Ligand,3FGU,3S41,4RCH,7T78,4ISF,4DCH,4DHY,5V4X,4NO7,3F9M,3VEY,3IDH,7T79,6E0I,3IMX,4ISE,3ID8,3VEV,3VF6,5V4W,1V4S,eA,XGB,Predicted probability
active30.CHEMBL606370,-8.84037113,-9.9942627,-9.96029377,-10.7921782,-10.1910591,-9.55904865,-10.0179415,-8.94735909,-8.91664314,-7.63920689,-7.81581259,-9.94469929,-11.2421265,-9.8699131,-10.7155066,-9.5358839,-8.51021099,-11.1559486,-7.65243673,-9.73874569,-8.32141304,-9.493383866666667,-9.49620164622319,0.969458281993866
active1.CHEMBL596020,-7.38765383,-10.0529156,-10.2150345,-10.8942184,-9.59706879,-9.68057442,-10.4767303,-9.05829716,-8.50366879,-7.91215611,-8.39789009,-9.05278301,-8.1406498,-9.86716747,-9.81411743,-9.43837833,-8.31025791,-10.9949522,-10.0212688,-9.78427505,-7.29214382,-9.28058103857143,-9.288192105744134,0.9675067663192749
active45.CHEMBL595353,-7.79649067,-10.3542681,-9.85020447,-10.8618851,-10.4707222,-9.87178898,-10.3494377,-9.53872108,-10.7498856,-7.90574074,-8.1996479,-9.89048481,-8.73259449,-9.89808846,-11.0544472,-9.56527615,-8.28498363,-11.1821833,-10.8535376,-9.9133091,-8.08631611,-9.686191113809523,-9.667599065203023,0.9672658443450928
active59.CHEMBL549417,-8.57554054,-10.1904764,-10.2086258,-11.2117977,-10.8165607,-10.7737579,-10.2307606,-10.6742439,-8.20182896,-8.46758175,-8.46291161,-9.59871483,-12.0087824,-10.0573626,-9.85757065,-10.853755,-9.00286388,-11.0201168,-10.5736532,-10.565012,-8.8552618,-10.009865667619048,-9.968807929350858,0.9650218486785889
active66.CHEMBL573064,-8.90810966,-9.38325024,-9.58786869,-9.91018105,-10.4027252,-9.67552376,-9.41312981,-10.3350019,-9.61527348,-10.8340082,-8.78883457,-9.44214821,-9.36146927,-8.92114735,-9.36750698,-10.8210592,-8.74537373,-10.3389339,-9.69406986,-10.2185125,-11.5685863,-9.777748279047621,-9.778450008118785,0.9627447724342346
active7.CHEMBL595362,-7.30175257,-10.1220837,-9.72326374,-10.6429834,-9.56737614,-9.65429688,-10.0785809,-9.21893978,-8.35050774,-7.77901363,-8.36334991,-9.64845371,-8.36941051,-9.74002361,-10.9930296,-10.1305676,-8.41180611,-10.9281969,-9.75585461,-9.68784904,-7.76829195,-9.344553906190477,-9.363195131494448,0.9545928835868835
active116.CHEMBL439344,-8.75439835,-9.8281002,-9.59785938,-10.6446047,-9.76710796,-11.0427465,-9.78484058,-9.30549812,-10.4690638,-8.10804462,-9.38393116,-9.56874943,-11.1726274,-9.50481033,-10.4756145,-10.1103191,-8.61245728,-11.2451582,-9.96172428,-9.20621395,-7.84209394,-9.732664941904764,-9.667388393937475,0.9523628354072571
active92.CHEMBL194499,-8.83609962,-9.723773,-9.90431499,-7.75392199,-8.7082901,-9.87807846,-9.7572813,-9.40880394,-10.0845985,-7.66974211,-8.12396717,-10.5620489,-7.66359377,-10.1033182,-9.78313255,-9.36599445,-8.62302971,-10.7196789,-10.3406439,-9.41004086,-7.90470028,-9.253573938095236,-9.206177609447694,0.9387698769569397
active67.CHEMBL573065,-8.86267567,-9.19530773,-9.12297249,-9.5566988,-10.1123066,-9.02953815,-9.18406391,-9.72530746,-7.33088017,-7.64555788,-8.10036087,-9.54786968,-10.2358103,-8.33727264,-9.89457703,-10.93083,-9.04762268,-9.55585861,-8.69714451,-9.93280315,-8.28287029,-9.158491839047619,-9.169578541830829,0.9387601017951965
active42.CHEMBL191239,-10.5890017,-10.051857,-10.4306192,-10.694355,-9.43204689,-10.3041153,-10.0577583,-9.59322453,-10.5722113,-8.12479305,-8.40540314,-11.2691259,-11.2476053,-10.5669699,-10.678669,-10.0301838,-8.40603161,-11.4479666,-10.729701,-10.3002481,-8.26828575,-10.057151065238097,-10.054385767042044,0.933975338935852
active13.CHEMBL483818,-8.11362553,-10.9873714,-10.848321,-12.3612604,-11.1473436,-11.1736813,-10.9739656,-10.3328104,-11.7058487,-8.66434097,-9.97394085,-10.4495525,-8.895854,-10.9649439,-11.2623901,-9.97419643,-9.18890667,-12.0342283,-11.4209394,-10.8356962,-9.17651749,-10.499320701904763,-10.355267694862139,0.9325743317604065
active72.CHEMBL572840,-8.64940643,-8.92502022,-8.59415817,-9.84637642,-10.6520872,-8.84440994,-9.09563828,-9.80930042,-9.46391106,-7.29530954,-8.10077858,-8.93048,-8.7575264,-8.19038963,-8.7781992,-10.9541197,-7.23859262,-9.10739803,-8.87848663,-9.99593639,-10.0697432,-9.056060383809525,-9.088335968707483,0.9310356378555298
active19.CHEMBL558885,-8.66332626,-9.28275585,-9.8794775,-9.13831997,-9.84660625,-9.839118,-9.21718693,-9.76671028,-7.63873148,-7.17588711,-7.62023115,-9.51127434,-9.84589672,-8.90503979,-9.33917522,-10.1069746,-7.4503746,-9.70679569,-8.41454315,-9.57927704,-7.59291124,-8.977172055714286,-8.847883532186898,0.9274206757545471
active50.CHEMBL559057,-8.69435787,-10.4360409,-10.112812,-8.9303751,-9.88237476,-9.9037075,-10.4325132,-8.79271889,-7.77884197,-7.78867531,-8.42730808,-8.48423862,-8.46696091,-9.92421532,-8.79458141,-9.81447983,-9.06726646,-11.6373901,-9.80304813,-10.4311628,-7.78716183,-9.304296713809526,-9.273929302744914,0.9265942573547363
active97.CHEMBL205816,-10.8605862,-9.32147026,-9.39898396,-8.27665138,-9.48034286,-10.7784109,-9.49847698,-9.38096237,-10.3077431,-7.29014015,-8.33502579,-9.7549839,-11.144145,-9.72298622,-9.73866272,-9.95110321,-8.55407524,-10.9952259,-9.76413918,-9.76898766,-9.402215,-9.605967522857144,-9.542182756339608,0.9234276413917542
active89.CHEMBL1165042,-8.42149067,-8.89357281,-9.80496788,-7.73957491,-9.90453243,-10.4491024,-8.83714008,-10.4542503,-7.14212847,-7.22417974,-8.13225937,-9.64089012,-10.202261,-9.47023869,-8.72610569,-9.99637508,-7.54165792,-11.0361681,-9.90662861,-10.4306393,-7.59376049,-9.121329717142858,-9.025769047963415,0.9194352030754089
active93.CHEMBL551977,-8.94427776,-9.37817764,-9.11694431,-7.93086338,-10.1061573,-9.91479778,-9.60538483,-9.42509937,-7.70039654,-7.85117483,-9.10384274,-9.12346077,-10.9103737,-9.44989681,-8.59288692,-9.92952538,-8.18051434,-10.4367971,-9.83452606,-9.67256641,-9.53117085,-9.27327784857143,-9.18715929935578,0.9166750311851501
active26.CHEMBL606156,-8.3519249,-10.0089617,-9.77250099,-8.18243599,-9.79534817,-9.37945461,-10.042902,-8.9814043,-10.1099339,-7.37869596,-8.02980614,-9.62435341,-7.77588034,-9.51859188,-9.13354778,-9.88691902,-8.53113079,-10.4085941,-9.48180485,-9.06992435,-8.60967445,-9.146370934761903,-9.096295357719718,0.9150662422180176
active101.CHEMBL1165284,-6.8173995,-8.79980564,-10.5981712,-10.6124716,-8.93560791,-9.7985878,-8.79191303,-9.25544262,-9.55832005,-7.45332575,-8.6492424,-8.06093502,-9.41178608,-10.2129526,-10.8247395,-8.2255373,-8.31981659,-10.4929724,-7.98048401,-9.83574295,-7.8767395,-9.071999688095238,-9.0691026043587,0.9146280288696289
active17.CHEMBL564282,-9.70786285,-10.539465,-10.9071608,-11.4372826,-10.9105625,-11.1369629,-10.5369558,-10.6739082,-11.024416,-8.72552299,-9.60175133,-10.3047514,-12.0705862,-9.95507622,-10.1772346,-11.1316767,-9.0430727,-11.210125,-10.4983454,-10.668582,-9.31276131,-10.455907738095238,-10.303699876632916,0.9112903475761414
active84.CHEMBL573751,-8.64594364,-9.34908199,-9.83901978,-9.66785336,-10.767951,-9.84867764,-9.34115028,-10.584671,-9.96873379,-8.38381577,-9.04625607,-9.51439857,-9.96605682,-9.08653259,-9.73947144,-11.2847328,-9.21642303,-10.2656803,-9.72054863,-10.4589481,-10.6597986,-9.778845009523806,-9.75581350472589,0.9062187671661377
active100.CHEMBL1164790,-6.94545841,-9.08436394,-10.2462568,-7.93808842,-8.47229862,-9.14711666,-8.8285532,-10.1177416,-7.43327141,-7.45506239,-8.6985445,-8.76667023,-10.927206,-9.96842861,-9.56690598,-10.5394888,-7.11833143,-10.1497574,-9.20076942,-10.6654053,-8.42079544,-9.032881645714285,-8.91443897323403,0.9002490639686584
