,AUROC,PRAUC,BEDROC,Enrichment Factor
3FGU,0.2875064046024233,0.011954129474987828,0.4241093941100209,0.4945054945054945
3S41,0.20988379302196636,0.01089077600725489,0.5190255361439761,0.6263736263736264
4RCH,0.30657866723440497,0.012308630417745854,0.3752556309495465,0.42857142857142855
7T78,0.2537696495541929,0.01144666994531967,0.5171877838674259,0.5604395604395604
4ISF,0.23699017610024636,0.011235823862583188,0.46958380928791604,0.5824175824175825
4DCH,0.30320967089116974,0.012236725414808514,0.3485444008318841,0.38461538461538464
4DHY,0.2216448656729687,0.011012840793436127,0.5334597021858073,0.6153846153846154
5V4X,0.24699305378462288,0.011506402163425312,0.43238340163043226,0.4725274725274725
4NO7,0.29494627152706776,0.012140831551052708,0.4510401044652583,0.4725274725274725
3F9M,0.41317464736668486,0.014522174298656371,0.21478653061442965,0.15384615384615385
3VEY,0.36293214981739563,0.013344394575512326,0.2709845895179221,0.24175824175824176
3IDH,0.2523542031738753,0.011427521630250197,0.47336066124763765,0.5604395604395604
7T79,0.3286432537018017,0.012811344761663505,0.39850090609009653,0.38461538461538464
6E0I,0.2614621912045799,0.011540060415923462,0.45970537533600403,0.5274725274725275
3IMX,0.3593034600060361,0.013427774420750993,0.3446076660302499,0.37362637362637363
4ISE,0.2371539467558203,0.011224542790477274,0.4764396665380663,0.5714285714285714
3ID8,0.3951247815416434,0.014042210471377521,0.2243447222599206,0.18681318681318682
3VEV,0.29844160523317437,0.012155765417475711,0.36603497109702027,0.4175824175824176
3VF6,0.26989170080504976,0.011693595887858808,0.46775434242473707,0.5494505494505495
5V4W,0.22378324251860549,0.011084129334119508,0.5018703952400899,0.6483516483516484
1V4S,0.3725478268803796,0.01366746043812998,0.31544947573453297,0.32967032967032966
